LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,CLASSTYPE,LONG_COMMON_NAME
100002-5,Specimen care is maintained,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Specimen care is maintained
100003-3,Team communication is maintained throughout care,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Team communication is maintained throughout care
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of the expected psychosocial responses to the procedure
100005-8,Demonstrates knowledge of nutritional management related to the procedure,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of nutritional management related to the procedure
100006-6,Demonstrates knowledge of medication management,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of medication management
100007-4,Demonstrates knowledge of pain management,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of pain management
10000-8,R wave duration.lead AVR,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead AVR
100008-2,Demonstrates knowledge of wound management,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of wound management
100009-0,Demonstrates knowledge of the procedure and expected results,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Demonstrates knowledge of the procedure and expected results
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,"No injury related to procedure equipment, medical supplies, or instrumentation"
100011-6,No injury related to an electrical source,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,No injury related to an electrical source
100012-4,Participates in decisions affecting the patient's plan of care,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Participates in decisions affecting the patient's plan of care
100013-2,Participates in the discharge process,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Participates in the discharge process
100014-0,Psychosocial health is maintained at or improved from baseline,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,Psychosocial health is maintained at or improved from baseline
100015-7,No injury related to positioning due to care or procedure,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,No injury related to positioning due to care or procedure
10001-6,R wave duration.lead I,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead I
100016-5,No injury related to a laser source,Finding,Point in time (spot),^Patient,Ord,"",SURVEY.PNDS,4,No injury related to a laser source
100017-3,Perioperative nursing data set outcomes panel,-,Point in time (spot),^Patient,-,PNDS,PANEL.SURVEY.PNDS,4,Perioperative nursing data set outcomes panel [PNDS]
100018-1,Note,Finding,Point in time (spot),{Setting},Doc,Hospice care,Document ontology,2,Hospice care Note
100019-9,ALK gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100020-7,GNA11 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100021-5,GNAQ gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100022-3,IDH1 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100023-1,IDH2 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,IDH2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
10002-4,R wave duration.lead II,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead II
100024-9,SETBP1 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,SETBP1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100025-6,SRSF2 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,SRSF2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100026-4,MET gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,MET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100027-2,SMAD4 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,SMAD4 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100028-0,FBXW7 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,FBXW7 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
100029-8,Cancer related multigene analysis,Finding,Point in time (spot),Plasma cell-free DNA,Doc,Molgen,Molecular pathology,1,Cancer related multigene analysis in Plasma cell-free DNA by Molecular genetics method
100030-6,Axis I: Temporal aspects score,Score,Point in time (spot),^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,4,Axis I: Temporal aspects score [Mainz Pain Staging System]
100031-4,Axis II: Spatial aspects score,Score,Point in time (spot),^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,4,Axis II: Spatial aspects score [Mainz Pain Staging System]
10003-2,R wave duration.lead III,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead III
100032-2,Axis III: Drug taking behavior score,Score,Point in time (spot),^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,4,Axis III: Drug taking behavior score [Mainz Pain Staging System]
100033-0,Axis IV: Utilization of the health care system score,Score,Point in time (spot),^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,4,Axis IV: Utilization of the health care system score [Mainz Pain Staging System]
100034-8,Provider of automated external defibrillator use,Type,Point in time (spot),^Patient,Nom,"",Trauma,2,Provider of automated external defibrillator use
100035-5,Exam finding location,Finding,Point in time (spot),Chest,Nom,"",Physical exam,2,Exam finding location of Chest
100036-3,Exam finding location,Finding,Point in time (spot),Lung,Nom,"",Physical exam,2,Exam finding location of Lung
100037-1,Patient contact disposition,Type,Point in time (spot),EMS unit,Nom,"",Trauma,2,Patient contact disposition EMS unit
100038-9,Patient evaluation disposition,Type,Point in time (spot),EMS unit,Nom,"",Trauma,2,Patient evaluation disposition EMS unit
100039-7,Crew disposition for patient care,Type,Point in time (spot),EMS unit,Nom,"",Trauma,2,Crew disposition for patient care EMS unit
10004-0,R wave duration.lead V1,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V1
100040-5,Patient transport disposition,Type,Point in time (spot),EMS unit,Nom,"",Trauma,2,Patient transport disposition EMS unit
100041-3,Aminoglycoside,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Aminoglycoside [Susceptibility]
100042-1,Atovaquone,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Atovaquone [Susceptibility]
100043-9,Azithromycin+Ethambutol,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Azithromycin+Ethambutol [Susceptibility]
100044-7,Cefcapene,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Cefcapene [Susceptibility]
100045-4,Cefozopran,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Cefozopran [Susceptibility]
100046-2,Cefquinome,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Cefquinome [Susceptibility]
100047-0,Cefteram,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Cefteram [Susceptibility]
100048-8,Clarithromycin+Ethambutol,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Clarithromycin+Ethambutol [Susceptibility]
100049-6,Eravacycline,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Eravacycline [Susceptibility]
100050-4,Erythromycin+Ethambutol,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Erythromycin+Ethambutol [Susceptibility]
100051-2,Ethambutol+rifAMPin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Ethambutol+rifAMPin [Susceptibility]
100052-0,Flomoxef,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Flomoxef [Susceptibility]
100053-8,Fluoroquinolone,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Fluoroquinolone [Susceptibility]
100054-6,Gamithromycin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Gamithromycin [Susceptibility]
100055-3,Optochin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Optochin [Susceptibility]
100056-1,Panipenem,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Panipenem [Susceptibility]
10005-7,R wave duration.lead V2,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V2
100057-9,Prothionamide,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Prothionamide [Susceptibility]
100058-7,Prulifloxacin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Prulifloxacin [Susceptibility]
100059-5,Rifapentine,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Rifapentine [Susceptibility]
100060-3,Tildipirosin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Tildipirosin [Susceptibility]
100061-1,Tosufloxacin,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,"",Antibiotic susceptibilities,1,Tosufloxacin [Susceptibility]
100062-9,Standard Dermatology Outcome Measures panel,-,Point in time (spot),^Patient,-,SDOM,Clinical panels,2,Standard Dermatology Outcome Measures panel
100063-7,Primary skin concern,Finding,Point in time (spot),^Patient,Nom,"",Clinical,2,Primary skin concern
100064-5,Itch severity,Finding,Reporting Period,^Patient,Ord,Reported,Clinical,2,Itch severity Reporting Period - Reported
10006-5,R wave duration.lead V3,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V3
100065-2,Satisfied with treatment,Finding,Point in time (spot),^Patient,Ord,"",Clinical,2,Satisfied with treatment
100066-0,Specular microscopy panel,-,Point in time (spot),Eye,-,Specular microscopy,Ophthalmic panels,2,Specular microscopy panel
100067-8,Image magnification,Length,Point in time (spot),Eye,Qn,"",EYE.SPECULAR MICROSCOPY,2,Eye Image magnification
100068-6,Fixation point,Angle,Point in time (spot),Right eye,Nom,"",EYE.SPECULAR MICROSCOPY,2,Right eye Fixation point [Angle]
